year_int,title_canonical,occurrences
2015,quranic classes for weekend and basic islamic,43
2015,bilal sunday school,22
2015,school tutoring c o sr shagufta,22
2015,quran halaqa for women,20
2015,quran class bilal c o adil,15
2015,embracing cultures a toastmasters club for women,11
2015,halaqa ladies,11
2015,quran reading assembly,11
2015,sisters halaqa ladies,11
2015,youth leadership class toastmaster,11
2015,kids quran class,9
2015,youth leadership club future stars,8
2015,exploring the quran with imam toure,3
2015,quran with teacher nevin,3
2015,test,3
2015,ladies jamat from seattle,2
2015,9 11 remembrance on saturday 9 12,1
2015,dua for deceased families,1
2015,halaqa with mufti azad,1
2015,islamic studies for women,1
2016,quran halaqa for women,53
2016,youth leadership club future stars,53
2016,kids quran class,52
2016,bilal sunday school,24
2016,quranic classes for weekend and basic islamic,21
2016,women morning quran halaqa,13
2016,exploring the quran with imam toure,11
2016,human rights counsel meeting,10
2016,prophet muhammad seerah lecture,10
2016,esl tutoring,7
2016,jamat from california,5
2016,jamat from makkah,4
2016,visiting hafiz,4
2016,blood drive at bilal,3
2016,seattle jamat,3
2016,sfo jamat,3
2016,bhs students visiting bilal mosque,2
2016,corvallis jamaat,2
2016,fundraiser done by sunday school students,2
2016,hosting catlin gable students,2
2017,women morning quran halaqa,37
2017,quran halaqa for women,35
2017,kids quran class,28
2017,youth leadership club future stars,22
2017,bilal sunday school,9
2017,exploring the quran with imam toure,8
2017,california jamat,4
2017,quran halqaa for women friday halqa,4
2017,babysitting for al maghrib s class,3
2017,bilal interfaith bazaar,2
2017,blood drive,2
2017,daughters of eve story night,2
2017,haqiqa party for syed irfan gillani s son,2
2017,abdul qavi s farewell dinner,1
2017,abdul qavi s farewell dinner women s side,1
2017,al maghrib community event,1
2017,almaghrib study session brothers,1
2017,aqeeqa aadam fahim,1
2017,aqiqa,1
2017,aqiqa gathering,1
2018,women morning quran halaqa,52
2018,youth leadership club future stars,52
2018,lectures on seerah of prophet,43
2018,bilal sunday school,42
2018,quran halaqa for women,29
2018,exploring the quran with imam toure,12
2018,tutoring homework help,9
2018,jamat from malaysia,6
2018,sfo jamat,6
2018,lecture series on the seerah of prophet,5
2018,sons of adam halaqa,5
2018,chess club,4
2018,daughters of eve weekly sisters halaqa level 1,4
2018,jamat from ca,4
2018,ca jamat,3
