year_int,date,events_that_day
2015,2015-03-14,4
2015,2015-04-02,4
2015,2015-05-16,4
2015,2015-03-01,3
2015,2015-03-07,3
2015,2015-03-08,3
2015,2015-03-15,3
2015,2015-03-21,3
2015,2015-03-22,3
2015,2015-03-28,3
2016,2016-07-29,4
2016,2016-01-08,3
2016,2016-01-16,3
2016,2016-02-05,3
2016,2016-02-06,3
2016,2016-03-05,3
2016,2016-03-11,3
2016,2016-03-19,3
2016,2016-03-20,3
2016,2016-04-15,3
2017,2017-07-21,5
2017,2017-09-09,4
2017,2017-05-05,3
2017,2017-09-24,3
2017,2017-03-11,2
2017,2017-03-20,2
2017,2017-03-31,2
2017,2017-05-03,2
2017,2017-05-06,2
2017,2017-05-07,2
2018,2018-02-10,4
2018,2018-02-17,4
2018,2018-08-10,4
2018,2018-09-29,4
2018,2018-11-03,4
2018,2018-11-10,4
2018,2018-01-07,3
2018,2018-01-13,3
2018,2018-02-03,3
2018,2018-03-16,3
2019,2019-10-19,8
2019,2019-09-28,6
2019,2019-12-21,6
2019,2019-04-27,5
2019,2019-05-11,5
2019,2019-05-18,5
2019,2019-06-08,5
2019,2019-10-26,5
2019,2019-11-16,5
2019,2019-11-23,5
2020,2020-03-14,6
2020,2020-03-21,5
2020,2020-02-01,4
2020,2020-03-07,4
2020,2020-03-20,4
2020,2020-03-28,4
2020,2020-11-27,4
2020,2020-12-25,4
2020,2020-01-10,3
2020,2020-01-17,3
2021,2021-01-01,2
2021,2021-01-02,2
2021,2021-01-15,1
2021,2021-01-29,1
2021,2021-02-05,1
2021,2021-02-19,1
2021,2021-02-26,1
2021,2021-03-05,1
2021,2021-03-19,1
2021,2021-03-26,1
2022,2022-11-11,3
2022,2022-11-19,3
2022,2022-12-03,3
2022,2022-12-10,3
2022,2022-12-17,3
2022,2022-10-06,2
2022,2022-10-12,2
2022,2022-10-28,2
2022,2022-11-03,2
2022,2022-11-26,2
2023,2023-01-21,4
2023,2023-02-18,4
2023,2023-03-18,4
2023,2023-05-20,4
2023,2023-08-07,4
2023,2023-08-14,4
2023,2023-12-25,4
2023,2023-01-07,3
2023,2023-01-14,3
2023,2023-01-28,3
2024,2024-11-09,5
2024,2024-12-14,5
2024,2024-08-10,4
2024,2024-01-13,3
2024,2024-01-15,3
2024,2024-01-20,3
2024,2024-01-27,3
2024,2024-02-10,3
2024,2024-02-17,3
2024,2024-03-09,3
2025,2025-12-13,6
2025,2025-02-17,5
2025,2025-10-18,5
2025,2025-05-12,4
2025,2025-11-03,4
2025,2025-11-15,4
2025,2025-11-22,4
2025,2025-01-11,3
2025,2025-02-21,3
2025,2025-04-21,3
2026,2026-10-10,3
2026,2026-10-24,3
2026,2026-01-03,2
2026,2026-09-05,2
2026,2026-09-12,2
2026,2026-09-19,2
2026,2026-09-25,2
2026,2026-09-26,2
2026,2026-10-03,2
2026,2026-10-17,2
