year_int,location_code,venue_bookings
2015,TrailerEast,108
2015,TrailerWest,40
2015,WhiteHouse,38
2015,Masjid,24
2016,TrailerEast,174
2016,WhiteHouse,80
2016,Masjid,54
2016,TrailerWest,14
2017,TrailerEast,112
2017,TrailerWest,50
2017,Masjid,25
2017,WhiteHouse,10
2018,TrailerEast,153
2018,TrailerWest,84
2018,Masjid,82
2018,WhiteHouse,21
2019,TrailerEast,165
2019,Masjid,136
2019,TrailerWest,131
2019,DentalVan,3
2020,TrailerEast,148
2020,TrailerWest,101
2020,Masjid,92
2020,Zoom,1
2021,Masjid,37
2021,TrailerEast,2
2022,TrailerWest,67
2022,Masjid,51
2022,TrailerEast,36
2023,TrailerWest,200
2023,TrailerEast,192
2023,Masjid,137
2024,TrailerEast,227
2024,Masjid,140
2024,TrailerWest,140
2024,WhiteHouse,64
2024,BMARearWest4,6
2024,BMAHall,2
2024,BMARearEast1,2
2025,TrailerEast,161
2025,TrailerWest,123
2025,Masjid,58
2025,BMAFrontWest3,26
2025,BMARearEast1,26
2025,BMARearWest4,21
2025,BMAHall,16
2025,BMAFrontEast2,12
2025,WhiteHouse,4
2026,TrailerEast,25
2026,TrailerWest,11
2026,BMARearWest4,5
2026,Masjid,2
